Data de Extracao; Papel; EvEbit; Posicao EvEbit; Roic; Posicao Roic; Posicao Final
2025-01-16;PLPL3;2.67;9;0.4422;1;1;
2025-01-16;BOBR4;3.74;21;0.3333;5;2;
2025-01-16;PETR4;3.25;11;0.2316;16;3;
2025-01-16;CMIN3;4.01;25;0.3062;7;4;
2025-01-16;PETR3;3.50;15;0.2316;17;5;
2025-01-16;CAMB3;4.26;26;0.3034;8;6;
2025-01-16;SYNE3;1.84;5;0.1674;33;7;
2025-01-16;LEVE3;5.25;43;0.3391;4;8;
2025-01-16;VALE3;3.65;18;0.1851;29;9;
2025-01-16;KEPL3;5.26;44;0.3092;6;10;
2025-01-16;VLID3;4.51;30;0.2016;23;11;
2025-01-16;LREN3;4.31;27;0.1934;26;12;
2025-01-16;ASAI3;3.95;24;0.1782;30;13;
2025-01-16;QUAL3;3.26;12;0.1535;44;14;
2025-01-16;SBSP3;5.20;42;0.2227;19;15;
2025-01-16;CEAB3;3.43;14;0.1449;51;16;
2025-01-16;CSUD3;5.48;53;0.2225;21;17;
2025-01-16;VTRU3;3.66;19;0.1386;57;18;
2025-01-16;LPSB3;3.22;10;0.1276;67;19;
2025-01-16;ALPK3;5.04;40;0.1604;39;20;
2025-01-16;CURY3;6.45;77;0.3621;3;21;
2025-01-16;TGMA3;6.29;72;0.2984;10;22;
2025-01-16;EALT4;4.81;34;0.1460;49;23;
2025-01-16;MILS3;5.81;59;0.1897;27;24;
2025-01-16;AURA33;6.56;80;0.2676;13;25;
2025-01-16;PRIO3;6.46;78;0.2351;15;26;
2025-01-16;SCAR3;5.01;39;0.1432;54;27;
2025-01-16;ECOR3;5.30;46;0.1489;48;28;
2025-01-16;TPIS3;4.60;32;0.1311;63;29;
2025-01-16;DEXP3;5.39;51;0.1501;45;30;
2025-01-16;UGPA3;5.82;61;0.1650;36;31;
2025-01-16;POMO3;6.43;76;0.1992;24;32;
2025-01-16;CSMG3;5.90;62;0.1610;38;33;
2025-01-16;ANIM3;4.52;31;0.1237;69;34;
2025-01-16;BEEF3;5.49;55;0.1499;46;35;
2025-01-16;GOAU4;2.02;6;0.0987;95;36;
2025-01-16;CSED3;3.61;17;0.1095;86;37;
2025-01-16;GOAU3;2.05;7;0.0987;96;38;
2025-01-16;EVEN3;3.57;16;0.1028;89;39;
2025-01-16;TTEN3;7.14;86;0.2186;22;40;
2025-01-16;FIQE3;5.49;54;0.1427;55;41;
2025-01-16;SAPR3;5.32;47;0.1299;64;42;
2025-01-16;RAPT3;5.13;41;0.1213;71;43;
2025-01-16;SAPR11;5.33;48;0.1299;65;44;
2025-01-16;PCAR3;2.42;8;0.0932;105;45;
2025-01-16;SAPR4;5.33;49;0.1299;66;46;
2025-01-16;POSI3;4.32;28;0.1088;87;47;
2025-01-16;ARML3;6.42;75;0.1561;42;48;
2025-01-16;RAPT4;5.30;45;0.1213;72;49;
2025-01-16;VBBR3;5.81;60;0.1358;59;50;
2025-01-16;BMOB3;5.56;57;0.1316;62;51;
2025-01-16;INTB3;7.36;89;0.1697;31;52;
2025-01-16;TECN3;5.42;52;0.1262;68;53;
2025-01-16;MATD3;4.96;37;0.1126;85;54;
2025-01-16;ODPV3;9.02;121;0.3657;2;55;
2025-01-16;LAVV3;5.37;50;0.1207;73;56;
2025-01-16;SEER3;3.89;23;0.0962;100;57;
2025-01-16;VULC3;8.38;107;0.2227;20;58;
2025-01-16;RECV3;6.26;71;0.1404;56;59;
2025-01-16;POMO4;8.21;104;0.1992;25;60;
2025-01-16;HBRE3;3.79;22;0.0921;107;61;
2025-01-16;CGAS5;8.65;114;0.2294;18;62;
2025-01-16;EUCA4;4.75;33;0.0964;99;63;
2025-01-16;VAMO3;6.33;73;0.1356;60;64;
2025-01-16;TOTS3;9.45;127;0.2743;11;65;
2025-01-16;SHUL4;7.63;95;0.1556;43;66;
2025-01-16;OFSA3;7.27;88;0.1443;53;67;
2025-01-16;TUPY3;5.99;64;0.1193;77;68;
2025-01-16;DESK3;5.95;63;0.1190;78;69;
2025-01-16;STBP3;9.68;130;0.2702;12;70;
2025-01-16;TFCO4;9.76;131;0.2504;14;71;
2025-01-16;BRFS3;8.49;111;0.1655;35;72;
2025-01-16;MDNE3;3.67;20;0.0799;128;73;
2025-01-16;GGBR3;5.55;56;0.0990;93;74;
2025-01-16;B3SA3;9.49;128;0.1876;28;75;
2025-01-16;GRND3;8.46;110;0.1498;47;76;
2025-01-16;GGBR4;6.06;65;0.0990;94;77;
2025-01-16;ABEV3;9.21;123;0.1639;37;78;
2025-01-16;MULT3;8.41;109;0.1445;52;79;
2025-01-16;CGRA3;4.93;36;0.0815;125;80;
2025-01-16;MDIA3;6.56;81;0.1135;82;81;
2025-01-16;AZUL4;9.83;132;0.1687;32;82;
2025-01-16;CGRA4;4.99;38;0.0815;126;83;
2025-01-16;MGLU3;4.35;29;0.0716;135;84;
2025-01-16;VIVA3;9.44;126;0.1596;40;85;
2025-01-16;JBSS3;7.59;94;0.1205;74;86;
2025-01-16;ALOS3;3.27;13;0.0531;159;87;
2025-01-16;JSLG3;7.17;87;0.1052;88;88;
2025-01-16;MYPK3;6.17;66;0.0892;109;89;
2025-01-16;FLRY3;7.84;98;0.1178;79;90;
2025-01-16;GMAT3;8.91;118;0.1340;61;91;
2025-01-16;CCRO3;8.03;101;0.1178;80;92;
2025-01-16;OPCT3;7.96;100;0.1164;81;93;
2025-01-16;RANI3;8.36;106;0.1194;76;94;
2025-01-16;RAIL3;8.73;116;0.1229;70;95;
2025-01-16;RDOR3;8.53;112;0.1195;75;96;
2025-01-16;BLAU3;8.35;105;0.1128;84;97;
2025-01-16;PGMN3;6.18;67;0.0827;122;98;
2025-01-16;SIMH3;7.59;93;0.0968;98;99;
2025-01-16;SOJA3;6.92;84;0.0919;108;100;
2025-01-16;TEND3;6.21;68;0.0819;124;101;
2025-01-16;FRAS3;12.08;154;0.1576;41;102;
2025-01-16;GUAR3;5.67;58;0.0664;138;103;
2025-01-16;BRST3;0.00;1;0.0000;196;104;
2025-01-16;AMOB3;0.00;2;0.0000;197;105;
2025-01-16;WEGE3;27.61;191;0.3000;9;106;
2025-01-16;GPIV33;0.00;3;0.0000;198;107;
2025-01-16;SBFG3;7.93;99;0.0935;104;108;
2025-01-16;ONCO3;6.73;82;0.0829;121;109;
2025-01-16;FHER3;0.14;4;-0.2803;200;110;
2025-01-16;ELMD3;14.80;171;0.1666;34;111;
2025-01-16;MOVI3;8.19;103;0.0954;103;112;
2025-01-16;HYPE3;8.54;113;0.0984;97;113;
2025-01-16;NTCO3;9.17;122;0.1006;91;114;
2025-01-16;ESPA3;6.53;79;0.0723;134;115;
2025-01-16;PORT3;12.30;156;0.1366;58;116;
2025-01-16;CSNA3;7.54;90;0.0808;127;117;
2025-01-16;LJQQ3;4.87;35;0.0263;184;118;
2025-01-16;DIRR3;7.59;92;0.0798;129;119;
2025-01-16;CYRE3;7.56;91;0.0757;133;120;
2025-01-16;RADL3;17.30;176;0.1456;50;121;
2025-01-16;YDUQ3;9.01;120;0.0923;106;122;
2025-01-16;COGN3;6.35;74;0.0589;152;123;
2025-01-16;BHIA3;6.22;69;0.0549;157;124;
2025-01-16;GGPS3;10.56;137;0.1017;90;125;
2025-01-16;ALLD3;6.81;83;0.0632;146;126;
2025-01-16;IGTI3;9.87;133;0.0957;101;127;
2025-01-16;CRFB3;7.09;85;0.0604;149;128;
2025-01-16;SUZB3;11.25;143;0.1005;92;129;
2025-01-16;MELK3;6.23;70;0.0478;166;130;
2025-01-16;IGTI11;11.15;142;0.0957;102;131;
2025-01-16;MTSA4;7.71;97;0.0608;148;132;
2025-01-16;AGRO3;10.67;138;0.0890;111;133;
2025-01-16;CSAN3;8.41;108;0.0658;141;134;
2025-01-16;CAML3;9.00;119;0.0767;131;135;
2025-01-16;PFRM3;7.65;96;0.0577;155;136;
2025-01-16;SMFT3;11.30;144;0.0882;112;137;
2025-01-16;RENT3;11.62;148;0.0892;110;138;
2025-01-16;SLCE3;10.29;135;0.0826;123;139;
2025-01-16;AMBP3;21.59;187;0.1135;83;140;
2025-01-16;VIVT3;11.06;141;0.0777;130;141;
2025-01-16;UNIP3;12.94;159;0.0877;113;142;
2025-01-16;FESA4;9.98;134;0.0662;140;143;
2025-01-16;ETER3;8.04;102;0.0424;172;144;
2025-01-16;GOLL4;12.16;155;0.0848;120;145;
2025-01-16;UNIP6;13.36;163;0.0877;114;146;
2025-01-16;CVCB3;8.71;115;0.0497;163;147;
2025-01-16;KLBN4;13.34;162;0.0850;117;148;
2025-01-16;VITT3;13.38;164;0.0858;116;149;
2025-01-16;KRSA3;11.52;146;0.0693;136;150;
2025-01-16;KLBN11;13.46;165;0.0850;118;151;
2025-01-16;KLBN3;13.90;166;0.0850;119;152;
2025-01-16;AERI3;8.80;117;0.0446;169;153;
2025-01-16;BRAV3;11.94;150;0.0673;137;154;
2025-01-16;JHSF3;9.29;125;0.0506;162;155;
2025-01-16;DXCO3;10.86;140;0.0604;150;156;
2025-01-16;TASA4;12.00;151;0.0633;144;157;
2025-01-16;MRFG3;10.39;136;0.0527;161;158;
2025-01-16;ORVR3;19.45;183;0.0865;115;159;
2025-01-16;TASA3;12.03;153;0.0633;145;160;
2025-01-16;BRIT3;12.58;158;0.0652;143;161;
2025-01-16;VVEO3;9.67;129;0.0407;174;162;
2025-01-16;HBOR3;9.23;124;0.0346;179;163;
2025-01-16;RAIZ4;11.89;149;0.0556;156;164;
2025-01-16;TRIS3;11.55;147;0.0548;158;165;
2025-01-16;PRNR3;14.46;170;0.0664;139;166;
2025-01-16;PNVL3;14.30;167;0.0654;142;167;
2025-01-16;DASA3;10.68;139;0.0432;171;168;
2025-01-16;SMTO3;14.34;169;0.0617;147;169;
2025-01-16;PETZ3;12.34;157;0.0531;160;170;
2025-01-16;FRIO3;26.39;190;0.0759;132;171;
2025-01-16;MTRE3;11.43;145;0.0355;177;172;
2025-01-16;EZTC3;12.01;152;0.0414;173;173;
2025-01-16;EMBR3;17.43;177;0.0578;154;174;
2025-01-16;LOGN3;18.14;180;0.0584;153;175;
2025-01-16;AZZA3;14.31;168;0.0462;167;176;
2025-01-16;AMAR3;15.14;172;0.0496;165;177;
2025-01-16;LWSA3;13.07;160;0.0327;181;178;
2025-01-16;ALPA4;17.95;179;0.0497;164;179;
2025-01-16;ATOM3;35.83;194;0.0604;151;180;
2025-01-16;JALL3;17.78;178;0.0435;170;181;
2025-01-16;PTBL3;16.10;175;0.0368;176;182;
2025-01-16;JPSA3;20.35;184;0.0456;168;183;
2025-01-16;MRVE3;15.96;174;0.0268;183;184;
2025-01-16;ROMI3;18.33;181;0.0352;178;185;
2025-01-16;TIMS3;13.11;161;0.0000;199;186;
2025-01-16;VIVR3;15.62;173;0.0148;190;187;
2025-01-16;CBAV3;21.32;186;0.0278;182;188;
2025-01-16;LAND3;36.54;195;0.0394;175;189;
2025-01-16;ZAMP3;20.55;185;0.0241;185;190;
2025-01-16;AALR3;27.74;192;0.0332;180;191;
2025-01-16;LOGG3;21.62;188;0.0239;186;192;
2025-01-16;DMVF3;18.53;182;0.0110;192;193;
2025-01-16;VSTE3;31.20;193;0.0229;187;194;
2025-01-16;HAPV3;22.43;189;0.0148;191;195;
2025-01-16;BRKM5;41.84;196;0.0154;188;196;
2025-01-16;BRKM3;41.99;197;0.0154;189;197;
2025-01-16;USIM5;42.57;198;0.0051;194;198;
2025-01-16;UCAS3;62.30;200;0.0089;193;199;
2025-01-16;USIM3;43.60;199;0.0051;195;200;
